slug,name,long
abilene-christian,Abilene Christian,Abilene Christian University
academy-of-art,Academy of Art,Academy of Art University
adams-st,Adams St.,Adams State University
adelphi,Adelphi,Adelphi University
adrian,Adrian,Adrian College
agnes-scott,Agnes Scott,Agnes Scott College
air-force,Air Force,Air Force Academy
akron,Akron,University of Akron
ala-huntsville,Alabama-Huntsville,University of Alabama-Huntsville
alabama,Alabama,University of Alabama
alabama-am,Alabama A&M,Alabama A&M University
alabama-st,Alabama St.,Alabama State University
alas-anchorage,Alas. Anchorage,University of Alaska-Anchorage
alas-fairbanks,Alas. Fairbanks,University of Alaska-Fairbanks
albany-ny,Albany (NY),University at Albany
albany-st-ga,Albany St. (GA),Albany State University
albertus-magnus,Albertus Magnus,Albertus Magnus College
albion,Albion,Albion College
albright,Albright,Albright College
alcorn,Alcorn St.,Alcorn State University
alderson-broaddus,Alderson Broaddus,Alderson-Broaddus University
alfred,Alfred,Alfred University
alfred-st,Alfred State,Alfred State College
allegheny,Allegheny,Allegheny College
allen,Allen,Allen
alma,Alma,Alma College
alvernia,Alvernia,Alvernia University
alverno,Alverno,Alverno College
am-corpus-chris,Texas-Am-Corpus,Texas A&M-Corpus Christi
american,American,American University
american-intl,American Int'l,American International College
american-pr,American (PR),American University of Puerto Rico
amherst,Amherst,Amherst College
anderson-in,Anderson (IN),Anderson University (Ind.)
anderson-sc,Anderson (SC),Anderson University (S.C.)
angelo-st,Angelo St.,Angelo State University
anna-maria,Anna Maria,Anna Maria College
appalachian-st,Appalachian St.,Appalachian State University
arcadia,Arcadia,Arcadia University
arizona,Arizona,University of Arizona
arizona-st,Arizona St.,Arizona State University
ark-fort-smith,Ark. - Fort Smith,University of Arkansas-Fort Smith
ark-monticello,Ark.-Monticello,University of Arkansas-Monticello
ark-pine-bluff,Ark.-Pine Bluff,University of Arkansas-Pine Bluff
arkansas,Arkansas,University of Arkansas
arkansas-st,Arkansas St.,Arkansas State University
arkansas-tech,Arkansas Tech,Arkansas Tech University
armstrong,Armstrong,Armstrong State University
army,Army,Army West Point
asbury,Asbury University,Asbury University
ashland,Ashland,Ashland University
assumption,Assumption,Assumption College
aub-montgomery,Auburn-Montgomery,
auburn,Auburn,Auburn University
augsburg,Augsburg,Augsburg University
augustana-il,Augustana (IL),Augustana College (IL)
augustana-sd,Augustana (SD),Augustana University (SD)
aurora,Aurora,Aurora University
austin,Austin,Austin College
austin-peay,Austin Peay,Austin Peay State University
averett,Averett,Averett University
azusa-pacific,Azusa Pacific,Azusa Pacific University
babson,Babson,Babson College
bakersfield,CSU Bakersfield,CSU Bakersfield
baldwin-wallace,Baldwin Wallace,Baldwin Wallace University
ball-st,Ball St.,Ball State University
baptist-bible-pa,Clarks Summit University,Clarks Summit University
bard,Bard,Bard College
barry,Barry,Barry University
barton,Barton,Barton College
baruch,Baruch,Baruch College
bates,Bates,Bates College
bay-path,Bay Path,Bay Path University
baylor,Baylor,Baylor University
becker,Becker,Becker College
belhaven,Belhaven,Belhaven University
bellarmine,Bellarmine,Bellarmine University
belmont,Belmont,Belmont University
belmont-abbey,Belmont Abbey,Belmont Abbey College
beloit,Beloit,Beloit College
bemidji-st,Bemidji St.,Bemidji State University
benedict,Benedict,Benedict College
benedictine-il,Benedictine (IL),Benedictine University
bentley,Bentley,Bentley University
berea,Berea College,Berea College
berry,Berry,Berry College
bethany-lutheran,Bethany Lutheran,Bethany Lutheran College
bethany-wv,Bethany (WV),Bethany College
bethel-mn,Bethel (MN),Bethel University
bethune-cookman,Bethune-Cookman,Bethune-Cookman University
binghamton,Binghamton,Binghamton University
biola,Biola,Biola University
birmingham-so,Birmingham-So.,Birmingham-Southern College
black-hills-st,Black Hills St.,Black Hills State University
blackburn,Blackburn,Blackburn College
bloomfield,Bloomfield,Bloomfield College
bloomsburg,Bloomsburg,Bloomsburg University
bluefield-st,Bluefield St.,Bluefield State College
bluffton,Bluffton,Bluffton University
boise-st,Boise St.,Boise State University
boston-college,Boston College,Boston College
boston-u,Boston U.,Boston University
bowdoin,Bowdoin,Bowdoin College
bowie-st,Bowie St.,Bowie State University
bowling-green,Bowling Green,Bowling Green State University
bradley,Bradley,Bradley University
brandeis,Brandeis,Brandeis University
brevard,Brevard,Brevard College
bridgeport,Bridgeport,University of Bridgeport
bridgewater-st,Bridgewater St.,Bridgewater State University
bridgewater-va,Bridgewater (VA),Bridgewater College
brooklyn,Brooklyn,Brooklyn College
brown,Brown,Brown University
bryant,Bryant,Bryant University
bryn-athyn,Bryn Athyn,Bryn Athyn College
bryn-mawr,Bryn Mawr,Bryn Mawr College
bucknell,Bucknell,Bucknell University
buena-vista,Buena Vista,Buena Vista University
buffalo,Buffalo,University at Buffalo
buffalo-st,Buffalo St.,Buffalo State College
butler,Butler,Butler University
byu,BYU,Brigham Young University
byu-hawaii,BYU-Hawaii,BYU-Hawaii
cabrini,Cabrini,Cabrini University
cairn,Cairn,Cairn University
cal-lutheran,Cal Lutheran,California Lutheran University
cal-poly,Cal Poly,Cal Poly
cal-poly-pomona,Cal Poly Pomona,Cal Poly Pomona
cal-st-dom-hills,Cal St. Dom. Hills,Cal State-Dominguez Hills
cal-st-east-bay,Cal St. East Bay,Cal State-East Bay
cal-st-fullerton,Cal St. Fullerton,Cal State-Fullerton
cal-st-la,Cal State LA,Cal State-Los Angeles
cal-st-monterey-bay,Cal St. Monterey Bay,Cal State-Monterey Bay
cal-st-northridge,Cal St. Northridge,Cal State-Northridge
cal-st-san-bdino,Cal St. San B'dino,Cal State-San Bernardino
cal-st-san-marcos,Cal State-San Marcos,
cal-st-stanislaus,Cal St. Stanislaus,Cal State-Stanislaus
caldwell,Caldwell,Caldwell University
california,California,University of California
california-baptist,Cal Baptist,California Baptist University
california-pa,California (PA),California University of Pennsylvania
caltech,Caltech,California Institute of Technology
calvin,Calvin,Calvin College
cameron,Cameron,Cameron University
campbell,Campbell,Campbell University
canisius,Canisius,Canisius College
capital,Capital,Capital University
carleton,Carleton,Carleton College
carnegie-mellon,Carnegie Mellon,Carnegie Mellon University
carroll-wi,Carroll (WI),Carroll University
carson-newman,Carson-Newman,Carson-Newman College
carthage,Carthage,Carthage College
case,Case Western Reserve,Case Western Reserve University
castleton,Castleton,Castleton University
catawba,Catawba,Catawba College
catholic,Catholic,Catholic University
cazenovia,Cazenovia,Cazenovia College
ccny,CCNY,City College of New York
cedar-crest,Cedar Crest,Cedar Crest College
cedarville,Cedarville,Cedarville University
centenary-la,Centenary (LA),Centenary College of Louisiana
centenary-nj,Centenary (NJ),Centenary University (N.J.)
central-ark,Central Ark.,University of Central Arkansas
central-conn-st,Central Conn. St.,Central Connecticut State University
central-ia,Central (IA),Central College (Iowa)
central-mich,Central Mich.,Central Michigan University
central-mo,Central Mo.,University of Central Missouri
central-okla,Central Okla.,University of Central Oklahoma
central-st-oh,Central St. (OH),Central State University
central-wash,Central Wash.,Central Washington University
centre,Centre,Centre College
chadron-st,Chadron St.,Chadron State College
chaminade,Chaminade,Chaminade University
chapman,Chapman,Chapman University
charleston-so,Charleston So.,Charleston Southern University
charleston-wv,Charleston (WV),University of Charleston
charlotte,Charlotte,UNC Charlotte
chatham,Chatham,Chatham University
chattanooga,Tenn-Chattanooga,University of Tennessee at Chattanooga
chestnut-hill,Chestnut Hill,Chestnut Hill College
cheyney,Cheyney,Cheyney University of Pennsylvania
